"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
21.9599999999997,-0.0821127813673776
21.9999999999997,-0.0911095512808132
22.0399999999997,-0.100047807539375
22.0799999999997,-0.108682068957884
22.1199999999997,-0.116830787550862
22.1599999999997,-0.124347861291542
22.1999999999997,-0.131194947476075
22.2399999999997,-0.137443676653882
22.2799999999997,-0.143174222518982
22.3199999999997,-0.148448309312669
22.3599999999997,-0.153322651342049
22.3999999999997,-0.157847462466112
22.4399999999997,-0.162060155646212
22.4799999999997,-0.165997181191303
22.5199999999997,-0.169687522277229
22.5599999999997,-0.173153600847148
22.5999999999997,-0.176415422595376
22.6399999999997,-0.179489447637046
22.6799999999997,-0.182389163982575
22.7199999999997,-0.185125596667427
22.7599999999997,-0.187707756478652
22.7999999999997,-0.190141306257734
22.8399999999997,-0.192434056688878
22.8799999999997,-0.194588819005794
22.9199999999997,-0.196609524615945
22.9599999999997,-0.198496612249926
22.9999999999997,-0.200252763788392
23.0399999999997,-0.201881096270729
23.0799999999997,-0.203386889556278
23.1199999999997,-0.204772175817426
23.1599999999997,-0.206039237389654
23.1999999999997,-0.207195984772032
23.2399999999997,-0.208246944695092
23.2799999999997,-0.209193187677715
23.3199999999997,-0.210041342853995
23.3599999999997,-0.210798172060438
23.3999999999997,-0.21146509225385
23.4399999999997,-0.212050869425081
23.4799999999997,-0.212558890028865
23.5199999999997,-0.212996238898537
23.5599999999997,-0.213364582261913
23.5999999999997,-0.21367291802439
23.6399999999997,-0.213926632635953
23.6799999999997,-0.214127485625277
23.7199999999997,-0.214286386574069
23.7599999999997,-0.214405131174396
23.7999999999997,-0.214489178953326
23.8399999999997,-0.214545825946433
23.8799999999997,-0.21458054751313
23.9199999999997,-0.214598822751915
23.9599999999997,-0.214604305443651
24,-0.214606133005409
